# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = code_1_model
# start_datetime = 2022-03-08 09:52:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\PIOTRK~1\AppData\Local\Temp\tmpx06grlgv\2nv8c57a.json
# init = 2 (Default)
# random
#   seed = 58755
# output
#   file = C:\Users\PIOTRK~1\AppData\Local\Temp\tmpx06grlgv\code_1-20220308105245.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,lambda,y_sim.1,y_sim.2,y_sim.3,y_sim.4,y_sim.5
0,0,30.9553,28,38,40,31,30
0,0,200.168,191,182,185,194,184
0,0,135.818,120,134,127,149,130
0,0,188.576,172,202,199,186,189
0,0,79.3097,86,66,77,80,70
0,0,163.306,143,176,157,163,166
0,0,100.308,84,119,113,99,91
0,0,254.925,239,258,254,240,271
0,0,92.7223,89,97,88,79,103
0,0,79.0646,86,85,84,71,77
0,0,74.0342,63,88,71,73,85
0,0,33.9144,27,25,37,28,29
0,0,67.6031,64,76,67,78,63
0,0,71.1259,79,74,71,67,87
0,0,172.543,170,196,172,153,191
0,0,29.3046,28,31,23,21,29
0,0,90.0002,89,87,104,97,105
0,0,27.8344,25,31,26,26,36
0,0,161.293,135,153,182,150,155
0,0,96.5101,89,92,82,101,123
0,0,106.798,109,113,99,121,110
0,0,169.024,137,148,160,175,157
0,0,133.875,134,130,136,135,154
0,0,52.7824,51,58,47,50,47
0,0,130.325,119,115,133,122,129
0,0,86.0149,71,71,99,76,78
0,0,78.9179,80,82,79,57,82
0,0,33.563,27,30,35,31,33
0,0,6.76792,2,4,5,3,13
0,0,26.5034,18,24,20,27,29
0,0,250.181,229,234,278,267,230
0,0,64.2814,66,79,66,70,53
0,0,88.7256,81,78,100,78,90
0,0,38.9479,41,39,40,36,38
0,0,55.0422,40,54,53,57,55
0,0,7.64996,3,7,6,9,7
0,0,90.2222,84,101,84,85,87
0,0,70.1311,73,69,70,56,67
0,0,196.116,186,211,217,199,194
