# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = code_1_model
# start_datetime = 2022-03-23 19:37:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\PIOTRK~1\AppData\Local\Temp\tmp3unspuna\h21ige5q.json
# init = 2 (Default)
# random
#   seed = 34137
# output
#   file = C:\Users\PIOTRK~1\AppData\Local\Temp\tmp3unspuna\code_1-20220323203722.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,lambda,y_sim.1,y_sim.2,y_sim.3,y_sim.4,y_sim.5
0,0,24.3632,21,25,21,23,16
0,0,89.4109,76,84,101,87,92
0,0,68.7435,67,65,78,71,64
0,0,54.9999,59,57,56,61,52
0,0,66.7651,76,53,70,58,73
0,0,215.469,210,201,221,194,230
0,0,114.391,133,134,109,125,108
0,0,192.761,187,192,199,214,181
0,0,10.6469,9,18,10,8,3
0,0,47.7868,44,42,46,53,42
0,0,367.819,347,369,361,331,362
0,0,173.114,181,163,181,176,168
0,0,47.5348,62,44,39,41,56
0,0,46.5734,52,40,39,45,43
0,0,194.39,190,191,180,181,191
0,0,85.7139,103,76,93,100,99
0,0,161.536,172,169,169,163,184
0,0,161.334,140,151,157,157,160
0,0,100.047,99,85,89,93,100
0,0,94.7867,90,105,86,87,106
0,0,83.3214,94,83,89,59,88
0,0,60.3858,68,65,48,58,62
0,0,121.683,130,106,121,117,127
0,0,61.1332,60,55,59,58,60
0,0,74.0892,74,80,67,62,70
0,0,52.1083,51,65,57,52,51
0,0,69.514,57,66,71,64,77
0,0,33.9577,37,34,35,38,37
0,0,45.4414,44,40,46,52,55
0,0,248.1,257,246,237,249,233
0,0,163.989,178,171,156,145,195
0,0,71.7702,75,54,70,74,73
0,0,120.803,122,128,144,106,111
0,0,158.421,141,175,154,142,139
0,0,70.2736,56,51,78,76,63
0,0,84.7367,88,98,69,68,98
0,0,228.67,224,222,206,236,218
0,0,76.6778,73,69,64,75,65
0,0,129.647,134,126,135,131,144
0,0,62.081,61,67,58,59,58
0,0,112.16,115,114,114,117,108
0,0,112.345,134,120,113,102,120
0,0,265.001,234,296,252,262,263
0,0,143.688,163,150,163,144,140
0,0,240.751,250,227,228,239,233
0,0,95.9505,87,91,90,97,111
0,0,24.4055,27,21,24,19,26
0,0,85.1297,91,82,91,82,79
0,0,105.576,112,88,106,115,120
0,0,88.5305,89,109,98,90,70
0,0,203.919,197,194,209,173,207
0,0,159.144,154,158,150,173,138
0,0,72.7404,71,78,89,87,65
0,0,56.0327,54,42,49,70,54
0,0,95.9438,103,96,94,84,89
0,0,249.808,274,248,246,245,257
0,0,58.0878,55,59,66,57,60
0,0,236.935,259,265,237,239,239
0,0,149.549,127,150,148,145,177
0,0,152.315,160,153,148,137,156
0,0,33.4596,36,31,43,23,39
0,0,4.08198,3,5,7,4,3
0,0,9.68985,14,12,13,12,4
0,0,79.2708,51,76,82,86,77
0,0,10.0106,8,4,9,12,10
0,0,120.974,114,140,115,124,126
0,0,100.339,119,112,90,105,99
0,0,58.6552,76,60,62,65,63
0,0,91.6806,104,96,98,82,91
0,0,4.67865,6,5,3,3,1
0,0,59.0382,60,56,67,61,66
0,0,163.642,135,160,165,173,148
0,0,140.087,148,137,127,116,160
0,0,110.881,103,110,117,117,123
0,0,42.7028,43,36,43,39,42
0,0,249.968,280,251,242,230,248
0,0,84.7861,94,93,82,74,75
0,0,62.712,74,75,73,76,52
0,0,89.3433,82,95,85,83,86
0,0,62.3613,45,67,72,65,54
0,0,136.911,154,146,145,147,128
0,0,17.0188,12,22,21,15,21
0,0,155.346,177,160,146,159,168
0,0,36.6398,30,40,31,34,40
0,0,213.71,217,222,193,225,212
0,0,45.0429,61,45,43,40,33
0,0,114.712,131,113,126,106,98
0,0,93.3986,93,109,74,93,91
0,0,51.5115,55,48,57,60,49
0,0,75.3317,65,76,87,79,85
0,0,30.2181,39,30,34,31,30
0,0,303.275,328,345,309,307,312
0,0,24.774,17,27,22,22,21
0,0,32.0713,20,37,23,31,33
0,0,199.878,220,187,207,209,177
0,0,90.1994,93,92,89,85,93
0,0,132.339,130,130,134,119,117
0,0,62.9863,68,68,53,65,53
0,0,81.3487,81,84,94,70,79
0,0,14.6427,12,17,13,21,16
0,0,128.519,113,137,126,122,125
0,0,48.9073,51,51,50,46,58
0,0,21.4922,22,23,11,25,19
0,0,139.506,148,140,159,123,146
0,0,108.611,105,103,101,106,118
0,0,94.3639,94,89,91,88,91
0,0,99.0402,111,100,110,85,100
0,0,64.5206,47,90,82,61,54
0,0,146.79,112,147,132,139,153
0,0,198.955,225,191,207,194,183
0,0,25.7434,33,28,27,29,28
0,0,34.8408,35,44,29,44,29
0,0,76.7764,77,67,80,65,85
0,0,154.456,149,144,168,143,141
0,0,67.4945,63,84,65,64,77
0,0,88.0004,86,93,86,85,88
0,0,6.69422,7,7,4,1,5
0,0,75.7263,75,51,81,81,63
0,0,111.121,113,111,108,106,115
0,0,1.47454,0,0,2,0,1
0,0,168.582,172,156,156,137,185
0,0,115.823,111,117,105,101,113
0,0,53.5985,50,59,48,52,71
0,0,23.6907,21,18,25,25,25
0,0,115.803,125,118,108,116,95
0,0,45.0123,43,39,65,37,49
0,0,233.701,237,229,227,231,244
0,0,21.082,16,16,19,31,36
0,0,40.8135,44,35,39,39,45
0,0,63.6261,61,70,62,64,71
0,0,60.7473,58,62,58,67,67
0,0,27.0862,20,16,32,30,33
0,0,215.739,212,202,217,214,215
0,0,18.4423,16,19,16,20,15
0,0,88.4514,85,95,73,73,94
0,0,82.4211,79,61,75,82,77
0,0,1.74011,1,2,0,0,2
0,0,12.9164,9,17,10,11,16
0,0,81.6785,71,82,72,95,86
0,0,115.176,120,130,106,129,113
0,0,25.3472,20,17,36,21,35
0,0,35.7135,31,39,40,37,47
