# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = code_1_model
# start_datetime = 2022-03-23 19:37:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\PIOTRK~1\AppData\Local\Temp\tmp3unspuna\jlhdfy51.json
# init = 2 (Default)
# random
#   seed = 14905
# output
#   file = C:\Users\PIOTRK~1\AppData\Local\Temp\tmp3unspuna\code_1-20220323203741.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,lambda,y_sim.1,y_sim.2,y_sim.3,y_sim.4,y_sim.5
0,0,172.448,165,196,169,173,160
0,0,99.7181,110,79,89,90,103
0,0,166.383,152,155,179,176,156
0,0,281.005,268,260,278,299,270
0,0,29.3341,32,34,28,31,32
0,0,165.586,144,190,161,164,172
0,0,223.981,234,236,226,237,197
0,0,74.3456,84,78,74,82,74
0,0,169.429,143,158,186,169,163
0,0,120.414,116,134,131,102,102
0,0,106.018,93,82,120,117,105
0,0,102.436,90,100,87,121,107
0,0,18.5226,19,20,23,24,19
0,0,61.6853,55,63,56,65,66
0,0,52.4551,49,57,59,43,46
0,0,10.3304,8,11,11,8,12
0,0,35.8126,41,42,31,42,28
0,0,37.8236,40,44,35,37,48
0,0,32.2548,36,28,39,31,30
0,0,63.6387,79,69,53,66,54
0,0,68.205,53,84,63,72,79
0,0,34.0614,31,33,37,28,32
0,0,46.4982,46,34,44,45,51
0,0,7.84035,14,9,2,13,11
0,0,95.4614,87,94,128,86,102
0,0,176.227,170,163,195,148,178
0,0,128.758,115,129,130,130,151
0,0,21.1561,25,17,28,15,15
0,0,59.2591,62,52,53,64,59
0,0,156.911,145,169,147,153,167
0,0,82.9281,83,100,76,74,79
0,0,12.7626,19,14,14,9,17
0,0,259.309,271,217,268,278,257
0,0,44.8092,51,45,44,49,30
0,0,130.293,126,136,137,132,134
0,0,39.0012,43,40,46,29,37
0,0,81.8211,73,82,79,77,92
0,0,114.373,119,115,128,114,117
0,0,125.672,140,145,116,125,116
0,0,316.323,280,295,336,379,345
0,0,23.8906,23,24,20,30,23
0,0,54.2612,56,51,50,53,57
0,0,10.5556,14,12,11,6,11
0,0,288.786,302,278,286,289,306
0,0,251.151,241,258,264,236,262
0,0,57.0391,57,68,61,58,57
0,0,193.075,206,196,171,182,206
0,0,85.7888,85,100,91,83,84
0,0,27.1899,32,31,23,24,26
0,0,29.2606,41,22,33,32,36
0,0,49.6235,43,56,42,51,47
0,0,16.5799,17,19,12,17,15
0,0,73.2455,74,79,72,66,87
0,0,13.6909,16,13,23,12,12
0,0,20.5096,29,18,18,14,28
0,0,174.736,180,203,189,184,154
0,0,178.526,161,191,169,198,200
0,0,133.292,130,128,147,131,122
0,0,22.3381,27,25,21,19,24
0,0,46.3235,44,41,43,48,55
0,0,90.1802,86,95,81,103,94
0,0,16.9083,14,14,18,16,15
0,0,41.4014,48,37,46,48,39
0,0,91.4646,97,86,111,88,84
0,0,131.535,153,106,139,129,119
0,0,93.6707,93,89,100,88,96
0,0,158.933,162,167,147,158,169
0,0,54.6116,49,56,48,57,50
0,0,8.38844,5,8,8,9,7
0,0,164.202,172,145,181,160,165
0,0,186.637,189,174,179,171,169
0,0,109.619,113,104,99,106,120
0,0,122.626,109,116,128,109,141
0,0,49.7234,53,50,49,57,51
0,0,48.2552,45,50,47,40,65
0,0,119.863,122,120,114,120,121
0,0,192.858,191,187,184,186,204
0,0,77.6715,89,73,86,76,72
0,0,56.2636,70,55,58,54,62
0,0,86.8658,90,94,75,84,92
0,0,6.12045,7,8,8,9,4
0,0,60.3662,60,84,65,53,71
0,0,370.032,420,363,349,361,349
0,0,43.792,37,34,28,38,51
0,0,72.8668,82,86,71,87,67
0,0,58.0338,51,50,49,51,50
0,0,93.297,91,90,97,102,92
0,0,86.9493,114,102,95,81,83
0,0,60.7614,44,59,69,58,57
0,0,37.6054,27,30,34,34,36
0,0,167.737,147,184,178,169,153
0,0,74.2003,79,87,87,68,80
0,0,88.8652,83,85,97,86,94
0,0,6.30362,5,5,8,7,9
0,0,108.556,114,110,97,112,115
0,0,125.582,126,132,122,110,121
0,0,57.2285,55,48,58,68,59
0,0,179.139,176,167,175,177,158
0,0,190.822,198,210,182,178,189
